idx,company,address,tax1,tax2,tax3,website,lat,lng
216,MFNS-Tec,"Glenview, IL",Water/Wave/Hydro,Environmental Remediation,Enabling Technologies/Components,https://www.mfns-tech.com/,,
217,Volexion,"Evanston, IL",Storage/Batteries,Chemistry,,https://www.volexion-inc.com/,,
218,Vaulta,"Brisbane, Australia",Storage/Batteries,Manufacturing,Circular Economy,https://www.vaulta.com.au/,,
219,Khaira Energy,"Bandung, Indonesia",Storage/Batteries,Solar,Built Environment/Construction,https://khairaenergy.com/,,
220,Cypris Materials,"San Leandro, CA ",Materials,Manufacturing,Chemistry,https://www.cyprismaterials.com/,,
221,Adena Power,"Lewis Center, OH",Storage/Batteries,Chemistry,Power Electronics,https://adenapower.com/,,
222,Advano,"New Orleans, LA",REEs,Materials,Storage/Batteries,https://www.advano.io/,,
223,Atargis Energy,"Pueblo, CO",Water/Wave/Hydro,,,https://atargis.com/,,
224,Babylon Microfarms,"Richmond, VA",IoT/IIoT,Ag/Food-tech,,https://babylonmicrofarms.com/,,
225,Blocpower,"Brooklyn, NY",Built Environment/Construction,Energy Efficiency,IoT/IIoT,https://www.blocpower.io/,,
226,Boxpower,"Grass Valley, CA",Power Electronics,Utility/Grid,Energy Efficiency,https://boxpower.io/,,
227,Carnot Engines,"London, UK",Enabling Technologies/Components,Power Electronics,Transportation/MaaS,https://carnotengines.com/,,
228,CleanInnoGen Energy Solutions,"Ottowa, Ontario",Hydrogen,Energy Efficiency,Thermal/Geothermal,https://www.cleaninnogen.com/,,
229,Evoloh,"Palo Alto, California",Hydrogen,Enabling Technologies/Components,Chemistry,https://evoloh.com/,,
230,Greenspur Wind,"Cleveland, Ohio",Wind,REEs,Enabling Technologies/Components,https://www.greenspur.co.uk/,,
231,Growflux,"Philadelphia, PA",Enabling Technologies/Components,Lighting,Ag/Food-tech,https://growflux.com/,,
232,Harvest Thermal,"San Francisco, CA",Enabling Technologies/Components,Thermal/Geothermal,Energy Efficiency,https://www.harvest-thermal.com/,,
233,Hexas Biomass,"Olympia, WA",Circular Economy,Materials,Ag/Food-tech,https://hexas.com/,,
234,Heycharge,"Munich, Germany",IoT/IIoT,Storage/Batteries,Transportation/MaaS,https://heycharge.com/,,
235,Infraclear,"Washington, DC",Generation/Transmission,Finance,IoT/IIoT,https://infraclear.com/,,
236,Ionomr Innovations,"Vancouver, Canada",Hydrogen,Materials,Enabling Technologies/Components,https://ionomr.com/,,
237,LiBama Power,"Binghamton, New York",Storage/Batteries,Enabling Technologies/Components,,https://www.libamapower.com/,,
238,Marel Power Solutions,"Detroit, Michigan",Power Electronics,Enabling Technologies/Components,,https://marel-power.com/,,
239,Mars Materials,"Oakland, CA",Built Environment/Construction,Materials,Manufacturing,https://www.marsmaterials.tech/,,
240,Mocean Energy,"Edinburgh, Scotland",Water/Wave/Hydro,Generation/Transmission,,https://www.mocean.energy/,,
241,Natrion,"Binghamton, New York",Storage/Batteries,Materials,Chemistry,https://www.natrion.co/,,
242,Novamera,"Ontario, Canada",Geology/Mining,IoT/IIoT,Enabling Technologies/Components,https://novamerainc.com/,,
243,Polystyvert,"Anjou, Quebec",Circular Economy,Materials,,https://polystyvert.com/fr/,,
244,Rebound Technologies,"Denver, Colorado",Thermal/Geothermal,Energy Efficiency,,https://www.rebound-tech.com/,,
245,Renew Risk,"London, UK",Wind,IoT/IIoT,Finance,http://renew-risk.com.s3-website-eu-west-1.amazonaws.com/#page-top,,
246,UbiQD,"Los Alamos, NM",Enabling Technologies/Components,Built Environment/Construction,Solar,https://ubiqd.com/,,
247,V-glass,"Virginia Beach, Virginia",Lighting,Built Environment/Construction,Energy Efficiency,https://www.vg12.com/,,
248,C-Power,"Charlottesville, VA ",Water/Wave/Hydro,Generation/Transmission,,https://cpower.co/,,
249,Polyose Bio,"Boston, MA",Circular Economy,Biofuels/Bioeconomy,Ag/Food-tech,polyosebio.com,,
250,AirOmatix,"Porland, OR",Enabling Technologies/Components,Chemistry,Energy Systems/Management,https://www.airomatixinc.com/,,
251,Continuous Solutions,"Portland, OR",IoT/IIoT,Energy Efficiency,Power Electronics,https://www.continuousolutions.com/,,
252,Lite Devices,"Portland, OR",IoT/IIoT,Enabling Technologies/Components,Environmental Remediation,https://litedevices.com/,,
253,Ventacity Systems,"Portland, OR",IoT/IIoT,Built Environment/Construction,Environmental Remediation,https://www.ventacity.com/,,
254,Separion,"Houston, TX",Thermal/Geothermal,REEs,Materials,https://www.linkedin.com/company/separion-llc/,,
255,Sygne Solutions,TX,Environmental Remediation,Chemistry,Enabling Technologies/Components,https://sygnesolutions.co/,,
256,Tierra Climate,"New York, NY",Storage/Batteries,Carbon/CCUS,Finance,https://www.tierraclimate.com/about,,
257,Voltstorage,"Munich, Germany",Storage/Batteries,Materials,,https://voltstorage.com/,,
258,Princeton NuEnergy,Bordentown NJ,Storage/Batteries,Circular Economy,Chemistry,https://www.pnecycle.com/,,
259,RenewCO2,"Cranford, NJ",Carbon/CCUS,Circular Economy,Chemistry,https://www.renewco2.com/,,
260,Vutility,"Salt Lake City, UT",IoT/IIoT,Built Environment/Construction,Energy Efficiency,https://vutility.com/,,
261,Aeromutable,"San Diego, CA",Energy Efficiency,Enabling Technologies/Components,Transportation/MaaS,https://www.aeromutable.com/,,
262,Airity Technologies,"Palo Alto, CA",Enabling Technologies/Components,Power Electronics,,https://www.airitytech.com/,,
263,Antora Energy,"Sunnyvale, CA",Storage/Batteries,Thermal/Geothermal,Materials,https://antoraenergy.com/,,
264,Arch,"San Francisco, CA",Energy Efficiency,Energy Systems/Management,IoT/IIoT,https://www.getarch.com/,,
265,Archive,"San Francisco, CA",Circular Economy,IoT/IIoT,Materials,https://www.archiveresale.com/,,
266,Artyc,"San Franciso, CA",Circular Economy,Storage/Batteries,,https://www.shipartyc.com/,,
267,Imperial College of London,"San Franciso, CA",Solar,IoT/IIoT,,https://aurorasolar.com/,,
268,Blumen,"San Franciso, CA",IoT/IIoT,Law,Evaluation/Compliance,https://www.blumensystems.com/,,
269,Bundle,"Oakland, CA",Built Environment/Construction,IoT/IIoT,Finance,https://bundle.build/,,
270,Ceres Imaging,"Oakland, CA",Ag/Food-tech,IoT/IIoT,Evaluation/Compliance,https://www.ceresimaging.net/,,
271,Citrine Informatics,"Redwood City, CA",IoT/IIoT,Chemistry,Materials,https://citrine.io/#citrineinformatics,,
272,ClearFlame Engines,"Geneva, IL",Power Electronics,Engineering,Transportation/MaaS,https://www.clearflame.com/technology/,,
273,Dragonfly Systems,"Stanford, CA",Enabling Technologies/Components,Solar,,https://tomkat.stanford.edu/innovation-transfer/dragonfly-systems,,
274,eLyte Technology Inc.,"Woburn, MA",Storage/Batteries,Chemistry,,https://www.elyte.tech/,,
275,Empowered Homes,"Johannesburg, South Africa",Solar,Generation/Transmission,,https://www.empowered.homes/,,
276,FarmRaise,Remote,IoT/IIoT,Finance,Ag/Food-tech,https://www.farmraise.com/,,
277,Fervo Energy,"Houston, TX",Thermal/Geothermal,Generation/Transmission,Geology/Mining,https://fervoenergy.com/,,
278,FLIP,"Stanford, CA",IoT/IIoT,Transportation/MaaS,Energy Systems/Management,https://tomkat.stanford.edu/innovation-transfer/flip,,
279,Gemini Energy Solutions,"Springfield, Virginia",Evaluation/Compliance,Built Environment/Construction,Energy Efficiency,https://www.geminiesolutions.com/,,
280,Indrio Technologies,"San Jose, CA",Evaluation/Compliance,Enabling Technologies/Components,Chemistry,https://www.indriotech.com/,,
281,Allied Microbiota,"San Francisco, CA",Biofuels/Bioeconomy,Environmental Remediation,,http://www.alliedmicrobiota.com/,,
282,BAH Holdings,"Sea Cliff, NY",Oil and Gas,Enabling Technologies/Components,Environmental Remediation,http://bahholdings.com/,,
283,Chem3,"Stony Brook, NY",Materials,Manufacturing,,http://www.chemcubed.com/,,
284,Yotta Energy,"Austin, TX",Solar,Storage/Batteries,Enabling Technologies/Components,https://www.yottaenergy.com/,,
285,Lithios,"Cambridge, MA",Chemistry,Geology/Mining,REEs,https://www.lithios.xyz/,,
286,Aqualumos,"Hartford, CT",Enabling Technologies/Components,Environmental Remediation,Water/Wave/Hydro,https://www.geyser-remediation.com/,,
287,Nanoionix,"Farmington, CT",Environmental Remediation,Materials,Chemistry,https://nanoionix.com/,,
288,Phoenix Tailings ,"Woburn, MA",Circular Economy,Geology/Mining,REEs,https://phoenixtailings.com/,,
289,Pani Clean ,"Iowa City, IA",Enabling Technologies/Components,Environmental Remediation,,https://www.paniclean.com/,,
290,SunHydrogen,"Coralville, IA",Solar,Hydrogen,Water/Wave/Hydro,https://www.sunhydrogen.com/,,
291,Alchemity,"College Park, MD",Materials,Chemistry,Power Electronics,https://alchemity.tech/,,
292,AquaLith,"Baltimore, MD",Enabling Technologies/Components,Chemistry,Materials,https://www.aqualith.net/,,
293,highT-Tech,"College Park, MD",Materials,Thermal/Geothermal,Enabling Technologies/Components,https://www.hight-tech.com/,,
294,InventWood,"College Park, MD",Built Environment/Construction,Materials,Circular Economy,https://inventwood.com/,,
295,Ion Storage Systems,"Beltsville, MD",Storage/Batteries,Chemistry,Enabling Technologies/Components,https://ionstoragesystems.com/,,
296,Manta Biofuel,"Owings Mills, MD",Biofuels/Bioeconomy,Environmental Remediation,Enabling Technologies/Components,https://mantabiofuel.com/,,
297,NanoDirect,"Baltimore, MD",IoT/IIoT,Circular Economy,Professional Services,https://nanodirect.com/,,
298,pulseiq,"Takoma Park, MD",IoT/IIoT,Energy Efficiency,,https://pulseiq.com/,,
299,Darcy Solutions,"Excelsior, MN",Thermal/Geothermal,Circular Economy,,http://darcysolutions.com/,,
300,Electra,"Boulder, CO",Manufacturing,Built Environment/Construction,Energy Efficiency,https://www.electra.earth/,,
301,Resynergi,"Rohnert Park, CA",Circular Economy,Materials,Chemistry,http://www.resynergi.com/,,
302,TerraCOH,"Minneapolis, MN",Thermal/Geothermal,Carbon/CCUS,Carbon/CCUS,http://terracoh-age.com/,,
303,Valerian Materials,"St. Louis Park, MN",Circular Economy,Materials,,https://www.valerianmaterials.com/,,
304,FGC Plasma Solutions,"Cambridge, MA",Materials,Enabling Technologies/Components,Power Electronics,http://fgcplasma.com/,,
305,Swinergy,"Minneapolis, MN",Biofuels/Bioeconomy,Circular Economy,,https://www.swinergy.com/,,
306,Maplewell Energy,"Broomfield, CO",IoT/IIoT,Utility/Grid,,https://www.maplewelleng.com/,,
307,microEra Power,"Rochestor, NY",Storage/Batteries,Energy Systems/Management,Built Environment/Construction,https://www.microerapower.com/,,
308,Carbonlink,"Los Angeles, CA",IoT/IIoT,Circular Economy,Carbon/CCUS,https://www.carbonlink.io/,,
309,Elevated Materials,"Los Angeles, CA",Materials,Circular Economy,,https://www.elevatedmaterials.com/,,
310,"Energy Exploration Technologies, Inc.(Energy X)","Lauderdale, FL",Geology/Mining,REEs,,https://energyx.com/,,
311,Mi Terro,"City of Industry, CA",Circular Economy,Materials,,https://miterro.com/,,
312,Kuva,"Cambridge, MA",IoT/IIoT,Environmental Remediation,Evaluation/Compliance,https://www.kuvasystems.com/,,
313,Outmore Living,"Austin, TX",Energy Efficiency,Manufacturing,,https://outmoreliving.com/,,
314,Pike Robotics,"Austin, TX",Oil and Gas,Enabling Technologies/Components,Evaluation/Compliance,https://www.pikerobotics.com/,,
315,Sundial Solar Components,"Fork, UT",Solar,Enabling Technologies/Components,,https://jstnhicken.wixsite.com/sundial,,
316,AIWaysion Inc,"Seattle, WA",Enabling Technologies/Components,Transportation/MaaS,,https://www.aiwaysion.com/,,
317,Banyu Carbon,"Seattle, WA",Water/Wave/Hydro,Enabling Technologies/Components,Carbon/CCUS,https://www.banyucarbon.com/,,
318,BattGenie Inc.,"Seattle, WA",IoT/IIoT,Storage/Batteries,,https://battgenie.life/,,
319,"BlueDot Photonics, Inc.","Seattle, WA",Solar,Materials,Energy Efficiency,https://www.bluedotphotonics.com/,,
320,"EnerG2 Technologies, Inc.","Seattle, WA",Storage/Batteries,Enabling Technologies/Components,Manufacturing,www.energ2.com,,
321,EVOECO,"Seattle, WA",IoT/IIoT,Enabling Technologies/Components,Circular Economy,https://evoeco.com/,,
322,"HyperSciences, Inc.","Spokane, WA",Geology/Mining,Enabling Technologies/Components,,https://www.hypersciences.com/,,
323,Membrion,"Seattle, WA",Enabling Technologies/Components,Environmental Remediation,Materials,https://membrion.com/,,
324,MicroHAOPs,"Seattle, WA",Materials,Environmental Remediation,Water/Wave/Hydro,https://www.microhaopsinc.com/,,
325,"Zap Energy, Inc.","Seattle, WA",Nuclear,Generation/Transmission,,https://www.zapenergy.com/,,
326,Flux XII,"Madison, WI",Storage/Batteries,Chemistry,Utility/Grid,https://www.flux12.com/,,
327,Hycamite,"Kokkola, Finland",Biofuels/Bioeconomy,Hydrogen,Generation/Transmission,https://hycamite.com/,,
328,Ecellix,"Seattle, WA",Enabling Technologies/Components,Storage/Batteries,Materials,https://ecellix.com/,,
329,Gelion,"Eveleigh, New South Wales",Storage/Batteries,Enabling Technologies/Components,,https://gelion.com/,,
330,The Good Car Company,"Hobart, Australia",Transportation/MaaS,,,https://www.goodcar.co/,,
331,LoopX AI,"Waterloo, Ontario",IoT/IIoT,Transportation/MaaS,,https://www.linkedin.com/company/loopx-ai/about/,,
332,Sicona Battery Technologies,"Brooklyn, NY",Storage/Batteries,Materials,Chemistry,https://siconabattery.com/,,
333,AmpUp,"Cupertino, CA",Transportation/MaaS,Storage/Batteries,IoT/IIoT,https://ampup.io/,,
334,Emrgy,"Atlanta, GA",Water/Wave/Hydro,Generation/Transmission,Enabling Technologies/Components,https://emrgy.com/,,
335,Quest Renewables,"Atlanta, GA",Solar,Architecture/Design,,https://questrenewables.com/,,
336,Cloverly,"Atlanta, GA",Carbon/CCUS,IoT/IIoT,Finance,www.cloverly.com,,
337,Polymer Solutions,"Atlanta, GA",Materials,Enabling Technologies/Components,,https://polymersol.com/,,
338,WEAV3D,"Norcross, GA",Manufacturing,,,https://weav3d.com/,,
339,Carbice,"Atlanta, GA",Materials,Enabling Technologies/Components,Thermal/Geothermal,https://carbice.com/markets/,,
340,Roev,"Brisbane, Australia",Transportation/MaaS,Circular Economy,Power Electronics,https://www.roev.com/,,
341,"ElektrikGreen, Inc","Lyons, CO",Hydrogen,Storage/Batteries,,https://elektrikgreen.com/,,
342,Transitional Energy,"Denver, CO",Oil and Gas,Power Electronics,Thermal/Geothermal,https://transitionalenergy.us/,,
343,Total Containment Inc (TCI),"Edmonton, Canada",Environmental Remediation,Materials,Oil and Gas,https://totalcontainment.ca/,,
344,Altum Technologies,"Las Vegas, NV",Environmental Remediation,Professional Services,IoT/IIoT,https://altumtechnologies.com/,,
345,Certek Heat Machine,"Grand Junction, CO",Thermal/Geothermal,Energy Systems/Management,,https://certek.ca/,,
346,Cimarron Energy ,"Houston, TX",Environmental Remediation,Enabling Technologies/Components,Manufacturing,https://cimarron.com/,,
347,Direct-C ,"Edmonton, Canada",IoT/IIoT,Environmental Remediation,Oil and Gas,https://www.direct-c.ca/,,
348,Kathairos Solutions ,"Dover, DE",Enabling Technologies/Components,Environmental Remediation,Oil and Gas,https://kathairos.com/,,
349,Proteum Energy ,"Phoenix, AZ",Oil and Gas,Hydrogen,,https://www.proteumenergy.com/,,
350,Qube Technologies ,"Calgary, Alberta, Canada",IoT/IIoT,Environmental Remediation,Evaluation/Compliance,https://www.qubeiot.com/,,
351,REVOLUTION Turbine Technologies ,"Houston, TX",Enabling Technologies/Components,Circular Economy,Oil and Gas,https://www.revolutionturbines.com/,,
352,Telops ,"Quebec, Quebec, Canada",Environmental Remediation,Enabling Technologies/Components,IoT/IIoT,https://www.telops.com/,,
353,Calion Technologies,"Berkeley, CA",Enabling Technologies/Components,Chemistry,Thermal/Geothermal,https://www.activate.org/calion-technologies,,
354,Allium Engineering,"Peabody, MA",Manufacturing,Materials,Built Environment/Construction,https://www.alliumeng.com/,,
355,Arrakis Materials,"Berkeley, CA",Carbon/CCUS,Chemistry,Materials,https://www.activate.org/arrakis-materials,,
356,Florrent,"Amherst, MA",Enabling Technologies/Components,Energy Systems/Management,Utility/Grid,https://florrent.com/,,
357,Pascal,"Cambridge, MA",Engineering,Materials,,Pascal (pascaltechnology.com),,
358,Ayrton Energy,"Calgary, AB, Canada",Hydrogen,Storage/Batteries,,https://ayrtonenergy.com/,,
359,Carbix,"Boston, MA",Carbon/CCUS,Built Environment/Construction,Circular Economy,https://www.carbixcorp.com/,,
360,Digital Carbon Bank,"Calgary, Alberta, Canada",Finance,Professional Services,,Carbon Offsets Trading | Digital Carbon Bank,,
361,EarthEn,"Phoenix, AZ",Storage/Batteries,IoT/IIoT,Utility/Grid,https://www.earthen.energy/earthen-pods,,
362,h quest vanguard,"Pittsburgh, PA",Hydrogen,Generation/Transmission,Enabling Technologies/Components,https://www.h-quest.com/,,
363,Highwood Emissions Management,"Calgary, Alberta, Canada",IoT/IIoT,Professional Services,,https://highwoodemissions.com/software/,,
364,Icarus RT,"Carlsbad, Canada",Enabling Technologies/Components,Solar,,https://icarusrt.com/about-us-2/,,
365,Khepra,"Los Altos, CA",Biofuels/Bioeconomy,Manufacturing,Enabling Technologies/Components,https://www.khepra.io/index.html,,
366,Natrion's,"Binghamton, NY",Storage/Batteries,Enabling Technologies/Components,Materials,https://www.natrion.co/team/alex-kosyakov/,,
367,Conservation Labs,"Pittsburgh, PA",IoT/IIoT,Water/Wave/Hydro,Evaluation/Compliance,https://conservationlabs.com/,,
368,AirViz,"Pittsburgh, PA",IoT/IIoT,Enabling Technologies/Components,Evaluation/Compliance,https://airvizinc.com/,,
369,Arieca,"Pittsburgh, PA",Materials,Thermal/Geothermal,Enabling Technologies/Components,https://www.arieca.com/,,
370,Blade Diagnostics,"Pittsburgh, PA",Evaluation/Compliance,IoT/IIoT,,https://bladediagnostics.com/,,
371,Bloomfield Robotics,"Pittsburgh, PA",Ag/Food-tech,IoT/IIoT,Evaluation/Compliance,https://bloomfield.ai/,,
372,Chement,"Chicago, IL",Carbon/CCUS,Manufacturing,Enabling Technologies/Components,https://www.chement.co/,,
373,CorePower Magnetics,"Pittsburgh, PA",Materials,Manufacturing,Generation/Transmission,https://www.corepowermagnetics.com/,,
374,LeanFM Technologies,"Pittsburgh, PA",IoT/IIoT,Enabling Technologies/Components,Evaluation/Compliance,https://leanfmtech.com/,,
375,Mine Vision Systems,"Pittsburgh, PA",IoT/IIoT,Geology/Mining,Professional Services,https://www.minevisionsystems.com/,,
376,Pearl Street Technologies,"Pittsburgh, PA",IoT/IIoT,Professional Services,Utility/Grid,https://www.pearlstreettechnologies.com/,,
377,Platypus Technologies,"Pittsburgh, PA",Professional Services,Enabling Technologies/Components,Water/Wave/Hydro,http://senseplatypus.com/,,
378,Silisium Tech,"Pittsburgh, PA",Manufacturing,Solar,,https://www.silisiumtech.com/,,
379,Sudoc,"Cambridge, MA",Chemistry,Enabling Technologies/Components,,https://www.sudoc.com/,,
380,Teratonix,"Pittsburgh, PA",Enabling Technologies/Components,Generation/Transmission,Engineering,https://www.teratonix.com/,,
381,Stratus Materials,"Pittsburgh, PA",Manufacturing,Enabling Technologies/Components,Storage/Batteries,https://www.stratusmaterials.com/,,
382,BuildSim,"Wexford, PA",IoT/IIoT,Professional Services,Energy Systems/Management,https://www.buildsim.io/,,
383,Ecotone Renweables,"Pittsburgh, PA",Ag/Food-tech,Circular Economy,Carbon/CCUS,https://www.ecotonerenewables.com/,,
384,Farm to Flame Energy,"Kearny, NJ",Power Electronics,Professional Services,Circular Economy,https://ftfenergy.com/,,
385,Four Growers,"Turtle Creek, PA",Ag/Food-tech,IoT/IIoT,Enabling Technologies/Components,https://fourgrowers.com/,,
386,Gridfruit,"Pittsburgh, PA",IoT/IIoT,Energy Systems/Management,,https://www.gridfruit.com/,,
387,Hyliion,"Cedar Park, TX",Generation/Transmission,Transportation/MaaS,Enabling Technologies/Components,https://www.hyliion.com/,,
388,Ion Works,"Pittsburgh, PA",IoT/IIoT,Storage/Batteries,,https://ion-works.com/,,
389,Mach9,"Pittsburgh, PA",IoT/IIoT,Geology/Mining,,https://www.mach9.io/,,
390,SparkMeter,"Washington, DC",IoT/IIoT,Utility/Grid,,https://www.sparkmeter.io/,,
391,Automat Solutions,"Fremont, CA",Storage/Batteries,Materials,Enabling Technologies/Components,https://www.automatsoln.com/,,
392,Dakota Energy Systems,"Peoria, AZ",Water/Wave/Hydro,Generation/Transmission,Energy Systems/Management,https://www.dakotaenergysystems.com/,,
393,Delphire,"Los Angeles, CA",IoT/IIoT,Environmental Remediation,,https://delphiretech.com/,,
394,Hydroplane,"Los Angeles, CA",Storage/Batteries,Hydrogen,Enabling Technologies/Components,https://hydroplane.us/,,
395,Pace AI,"Philadelphia, PA",IoT/IIoT,Consulting,Energy Systems/Management,https://pacecontrols.com/,,
396,Prabhu Energy Labs,"San Francisco, CA",Power Electronics,Professional Services,Environmental Remediation,https://www.prabhuenergy.com/,,
397,Pulsenics,"Toronto, Canada",Energy Systems/Management,Power Electronics,Consulting,https://www.pulsenics.com/,,
398,Safi Organics,"Wanguru, North Kinangop",Ag/Food-tech,Manufacturing,Consulting,https://safiorganics.co.ke/,,
399,Sea Dragon Energy,"Florence, TX",Storage/Batteries,Hydrogen,Water/Wave/Hydro,https://www.seadragon.energy/,,
400,Wild Technologies,"Los Angeles, CA",Thermal/Geothermal,IoT/IIoT,,https://wildenergy.io/,,
401,Xendee,"San Diego, CA",Energy Systems/Management,IoT/IIoT,Enabling Technologies/Components,https://xendee.com/,,
402,Xponent Power,"Fremont, CA",Solar,Enabling Technologies/Components,,https://xponentpower.com/,,
403,Oceanways,"London, UK",Environmental Remediation,Hydrogen,Transportation/MaaS,Oceanways - Zero emission cargo submarines,,
404,Relyion Energy,"Santa Clara, CA",Storage/Batteries,IoT/IIoT,Utility/Grid,https://www.relyionenergy.com/,,
405,Triton Anchor,"Chelmsford, MA",Water/Wave/Hydro,Engineering,Built Environment/Construction,Offshore Wind Anchor | Triton Anchor | Chelmsford,,
406,Troes,"Markham ON, Canada",Storage/Batteries,IoT/IIoT,Thermal/Geothermal,https://troescorp.com/cutting-edge-integration-technology/,,
407,Tycho Solutions,"Mexico City, Mexico",IoT/IIoT,Professional Services,,https://www.tycho.solutions/,,
408,Actionfigure,"Washington, DC",IoT/IIoT,Transportation/MaaS,,https://actionfigure.ai/,,
409,Allume Energy,"Richmond, Australia",Solar,Energy Systems/Management,Power Electronics,https://allumeenergy.com/au/,,
410,Amber Kinetics,"Union City, CA",Storage/Batteries,Energy Systems/Management,Enabling Technologies/Components,https://amberkinetics.com/product/,,
411,Ambri,"Cambridge, MA",Storage/Batteries,Utility/Grid,,https://ambri.com/,,
412,Ampaire,"Los Angeles, CA",Transportation/MaaS,Enabling Technologies/Components,,https://www.ampaire.com/,,
413,Acelerex,"Cambridge, MA",IoT/IIoT,Utility/Grid,Energy Systems/Management,https://acelerex.com/,,
414,Acoustic Wells,"Boston, MA",IoT/IIoT,Oil and Gas,Energy Systems/Management,https://www.acoustic-wells.com/,,
415,Adaviv,"Boston, MA",Ag/Food-tech,IoT/IIoT,Enabling Technologies/Components,https://www.adaviv.com/,,
416,Adept Materials,"Somerville, MA",Architecture/Design,Materials,Engineering,https://www.adeptmaterials.com/,,
417,AeroShield,"Cambridge, MA",Architecture/Design,Materials,Engineering,https://www.aeroshield.tech/,,
418,Aluminum Technologies,"New Orleans, LA",Manufacturing,Chemistry,Energy Efficiency,https://aluminumtechnologies.us/,,
419,Aquosmic,"Galveston, TX",Water/Wave/Hydro,IoT/IIoT,Professional Services,https://aquosmic.com/,,
420,CalWave,"Oakland, CA",Water/Wave/Hydro,Generation/Transmission,Energy Systems/Management,https://calwave.energy/,,
421,C-Quester,"Los Angeles, CA",Carbon/CCUS,Environmental Remediation,,https://cquester.net/,,
422,Carbonext,"Sugar Land, TX",Manufacturing,Materials,Enabling Technologies/Components,https://carbonextinc.com/,,
423,Drinkicks,"Houston, TX",Circular Economy,Environmental Remediation,Materials,https://drinkicks.com/,,
424,Eos Loan,"Houston, TX",Finance,Professional Services,,https://eossolarloan.com/,,
425,Excipio Energy,"Houston, TX",Water/Wave/Hydro,Generation/Transmission,,https://excipioenergy.com/,,
426,Frakktal,"Houston, TX",Materials,Circular Economy,Architecture/Design,https://www.frakktal.com/,,
427,Fysikes Biosolutions,"Houston, TX",Hydrogen,Carbon/CCUS,Environmental Remediation,https://www.fysikes.bio/,,
428,Moonshot Compost,"Houston, TX",Ag/Food-tech,Circular Economy,Biofuels/Bioeconomy,https://www.moonshotcompost.com/,,
429,Helix Earth Technologies,,,,,,,
,"Houston, TX",Carbon/CCUS,Enabling Technologies/Components,Environmental Remediation,https://www.helixearthtechnologies.com/,,,
430,Varea Energy,"Houston, TX",Hydrogen,Transportation/MaaS,Enabling Technologies/Components,https://www.vareaenergy.com/,,
431,WIP International Services LLC,"Houston, TX",Water/Wave/Hydro,Engineering,Consulting,https://wipintl.com/,,
432,WOOTZ,"Houston, TX",Materials,Enabling Technologies/Components,Manufacturing,https://wootznano.com/,,
